"x","y","objectid","stop_name","stop_lat","stop_lon","town","stop_code"
-8589125.0393,4746204.8719,1,"AIRPARK RD & ORBIT DR",39.171065,-77.157423,"","20006"
-8588890.4891,4746013.7565,2,"AIRPARK RD & WOODFIELD RD",39.169734,-77.155316,"Gaithersburg","20008"
-8588696.3479,4745868.3044,3,"AIRPARK RD & WOODFIELD RD",39.168721,-77.153572,"Gaithersburg","20010"
-8587929.8019,4743057.3124,4,"AIRPARK RD & MUNCASTER MILL RD",39.149141,-77.146686,"Redland","20012"
-8587894.5136,4743027.1681,5,"AIRPARK RD & MUNCASTER MILL RD",39.148931,-77.146369,"Redland","20014"
-8588884.0326,4746037.4483,6,"AIRPARK RD & WOODFIELD RD",39.169899,-77.155258,"Gaithersburg","20016"
-8589191.831,4746238.759,7,"AIRPARK RD & ORBIT DR",39.171301,-77.158023,"","20018"
-8589407.2342,4746111.3958,8,"AIRPARK RD & CESSNA AVE",39.170414,-77.159958,"","20020"
-8576982.8658,4727485.2608,9,"AMHERST AVE & UNIVERSITY BLVD",39.040575,-77.048348,"","20022"
-8576924.2005,4727863.3556,10,"AMHERST AVE & BLUERIDGE AVE",39.043213,-77.047821,"","20026"
-8576927.6514,4728080.9314,11,"AMHERST AVE & ELKINS ST",39.044731,-77.047852,"","20028"
-8576995.2223,4728400.567,12,"AMHERST AVE & ARCOLA AVE",39.046961,-77.048459,"","20030"
-8577008.9146,4728362.5828,13,"AMHERST AVE & ARCOLA AVE",39.046696,-77.048582,"","20032"
-8576959.0435,4728137.4044,14,"AMHERST AVE & ELKINS ST",39.045125,-77.048134,"","20034"
-8576937.7814,4727902.7712,15,"AMHERST AVE & BLUERIDGE AVE",39.043488,-77.047943,"","20036"
-8577012.6994,4727468.7786,16,"AMHERST AVE & UNIVERSITY BLVD",39.04046,-77.048616,"","20038"
-8594885.155,4748203.5445,17,"APPLE RIDGE RD & DARLINGTON DR",39.184983,-77.209167,"Montgomery Village","20040"
-8594637.0239,4748215.8956,18,"APPLE RIDGE RD & DELLCASTLE RD",39.185069,-77.206938,"Montgomery Village","20042"
-8594133.5258,4748322.8914,19,"APPLE RIDGE RD & SHADOW OAK DR",39.185814,-77.202415,"Montgomery Village","20044"
-8593773.0733,4748499.4012,20,"APPLE RIDGE RD & MONTGOMERY VILLAGE AVE",39.187043,-77.199177,"Montgomery Village","20046"
-8594131.0768,4748350.4664,21,"APPLE RIDGE RD & SHADOW OAK DR",39.186006,-77.202393,"Montgomery Village","20048"
